date,country,apl-driving,apl-transit,apl-walking
2020-02-14,ARG,122.91,,128.75
2020-02-15,ARG,127.62,,103.47
2020-02-16,ARG,88.2,,69.12
2020-02-17,ARG,92.28,,93.42
2020-02-18,ARG,98.15,,111.49
2020-02-19,ARG,98.96,,107.02
2020-02-20,ARG,104.71,,111.36
2020-02-21,ARG,132.57,,124.13
2020-02-22,ARG,141.76,,120.44
2020-02-23,ARG,108.21,,100.5
2020-02-24,ARG,107.92,,96.6
2020-02-25,ARG,99.51,,82.59
2020-02-26,ARG,96.38,,107.79
2020-02-27,ARG,97.96,,110.62
2020-02-28,ARG,116.77,,124.18
2020-02-29,ARG,117.72,,108.49
2020-03-01,ARG,81.13,,68.5
2020-03-02,ARG,86.76,,101.01
2020-03-03,ARG,88.9,,104.39
2020-03-04,ARG,92.74,,108.23
2020-03-05,ARG,97.45,,113.92
2020-03-06,ARG,118.32,,126.7
2020-03-07,ARG,122.78,,112.81
2020-03-08,ARG,80.36,,70.94
2020-03-09,ARG,89.28,,109.38
2020-03-10,ARG,89.29,,109.62
2020-03-11,ARG,82.73,,83.06
2020-03-12,ARG,86.67,,106.85
2020-03-13,ARG,98.75,,104.31
2020-03-14,ARG,84.77,,70.31
2020-03-15,ARG,47.7,,43.64
2020-03-16,ARG,53.57,,51.55
2020-03-17,ARG,45.44,,35.57
2020-03-18,ARG,43.21,,31.96
2020-03-19,ARG,43.9,,29.97
2020-03-20,ARG,16.77,,11.75
2020-03-21,ARG,12.54,,9.11
2020-03-22,ARG,8.74,,6.96
2020-03-23,ARG,10.08,,8.36
2020-03-24,ARG,10.76,,8.05
2020-03-25,ARG,14.86,,10.92
2020-03-26,ARG,14.58,,10.53
2020-03-27,ARG,15.45,,11.3
2020-03-28,ARG,13.34,,10.73
2020-03-29,ARG,9.92,,7.77
2020-03-30,ARG,14.59,,11.37
2020-03-31,ARG,12.65,,9.79
2020-04-01,ARG,15.79,,11.78
2020-04-02,ARG,16.48,,11.23
2020-04-03,ARG,17.15,,12.44
2020-04-04,ARG,15.13,,10.97
2020-04-05,ARG,11.53,,9.12
2020-04-06,ARG,17.24,,11.85
2020-04-07,ARG,18.55,,13.49
2020-04-08,ARG,19.95,,15.51
2020-04-09,ARG,19.8,,14.65
2020-04-10,ARG,16.8,,13.58
2020-04-11,ARG,19.4,,15.75
2020-04-12,ARG,12.89,,10.45
2020-04-13,ARG,21.1,,16.35
2020-04-14,ARG,22.29,,16.66
2020-04-15,ARG,23.55,,17.42
2020-04-16,ARG,24.4,,18.18
2020-04-17,ARG,27.17,,18.8
2020-04-18,ARG,23.19,,17.03
2020-04-19,ARG,14.54,,10.59
2020-04-20,ARG,26.67,,18.44
2020-04-21,ARG,27.25,,19.01
2020-04-22,ARG,27.61,,18.47
2020-04-23,ARG,28.73,,20.39
2020-04-24,ARG,30.99,,22.32
2020-04-25,ARG,25.92,,23.31
2020-04-26,ARG,16.57,,16.36
2020-04-27,ARG,27.45,,18.48
2020-01-13,AUS,100.0,100.0,100.0
2020-01-14,AUS,102.98,101.78,101.31
2020-01-15,AUS,104.21,100.64,101.82
2020-01-16,AUS,108.63,99.58,104.52
2020-01-17,AUS,109.08,98.34,113.73
2020-01-18,AUS,89.0,86.97,100.24
2020-01-19,AUS,99.35,99.87,98.57
2020-01-20,AUS,103.53,107.29,104.38
2020-01-21,AUS,106.8,109.13,108.51
2020-01-22,AUS,107.4,107.03,103.88
2020-01-23,AUS,115.65,106.64,112.4
2020-01-24,AUS,109.66,100.19,117.27
2020-01-25,AUS,88.59,90.61,103.02
2020-01-26,AUS,85.18,81.83,87.4
2020-01-27,AUS,95.91,101.78,96.18
2020-01-28,AUS,99.4,104.81,100.57
2020-01-29,AUS,99.92,103.03,100.25
2020-01-30,AUS,103.04,101.91,100.73
2020-01-31,AUS,103.73,97.77,108.69
2020-02-01,AUS,85.73,87.49,96.55
2020-02-02,AUS,93.39,98.72,92.71
2020-02-03,AUS,95.83,99.03,95.77
2020-02-04,AUS,98.63,102.4,99.1
2020-02-05,AUS,102.4,100.27,97.65
2020-02-06,AUS,107.46,100.82,97.97
2020-02-07,AUS,106.55,102.46,112.07
2020-02-08,AUS,86.33,84.1,88.84
2020-02-09,AUS,98.78,100.46,93.13
2020-02-10,AUS,100.08,105.77,100.34
2020-02-11,AUS,103.28,105.48,101.59
2020-02-12,AUS,106.19,106.71,104.56
2020-02-13,AUS,116.62,113.2,116.84
2020-02-14,AUS,115.36,111.33,129.56
2020-02-15,AUS,93.51,98.78,110.5
2020-02-16,AUS,98.27,109.3,103.76
2020-02-17,AUS,101.79,111.03,102.99
2020-02-18,AUS,105.38,115.59,107.3
2020-02-19,AUS,107.29,114.53,112.78
2020-02-20,AUS,113.37,116.25,116.31
2020-02-21,AUS,118.25,120.68,133.9
2020-02-22,AUS,97.6,104.35,113.52
2020-02-23,AUS,97.5,115.32,103.12
2020-02-24,AUS,102.7,119.81,106.0
2020-02-25,AUS,104.46,118.98,109.06
2020-02-26,AUS,106.23,115.46,109.52
2020-02-27,AUS,113.6,119.34,116.49
2020-02-28,AUS,117.64,122.09,135.14
2020-02-29,AUS,98.24,107.23,126.02
2020-03-01,AUS,97.35,113.58,100.94
2020-03-02,AUS,99.14,115.04,101.73
2020-03-03,AUS,101.63,112.26,101.17
2020-03-04,AUS,106.02,111.17,97.93
