date,city,value
2020-03-30,Казань,2.8
2020-03-31,Казань,3.1
2020-04-01,Казань,3.8
2020-04-02,Казань,3.9
2020-04-03,Казань,3.7
2020-04-04,Казань,3.9
2020-04-05,Казань,4.0
2020-04-06,Казань,3.3
2020-03-02,Нижний Новгород,1.0
2020-03-03,Нижний Новгород,0.8
2020-03-04,Нижний Новгород,0.8
2020-03-05,Нижний Новгород,0.8
2020-03-06,Нижний Новгород,0.8
2020-03-07,Нижний Новгород,2.4
2020-03-08,Нижний Новгород,2.8
2020-03-09,Нижний Новгород,3.0
2020-03-10,Нижний Новгород,0.9
2020-03-11,Нижний Новгород,0.7
2020-03-12,Нижний Новгород,0.8
2020-03-13,Нижний Новгород,0.9
2020-03-14,Нижний Новгород,2.4
2020-03-15,Нижний Новгород,3.2
2020-03-16,Нижний Новгород,0.9
2020-03-17,Нижний Новгород,1.0
2020-03-18,Нижний Новгород,1.2
2020-03-19,Нижний Новгород,1.3
2020-03-20,Нижний Новгород,1.3
2020-03-21,Нижний Новгород,2.7
2020-03-22,Нижний Новгород,3.2
2020-03-23,Нижний Новгород,1.4
2020-03-24,Нижний Новгород,1.4
2020-03-25,Нижний Новгород,1.4
2020-03-26,Нижний Новгород,1.3
2020-03-27,Нижний Новгород,1.2
2020-03-28,Нижний Новгород,3.1
2020-03-29,Нижний Новгород,3.6
2020-03-30,Нижний Новгород,3.1
2020-03-31,Нижний Новгород,3.7
2020-04-01,Нижний Новгород,3.8
2020-04-02,Нижний Новгород,3.9
2020-04-03,Нижний Новгород,3.8
2020-04-04,Нижний Новгород,4.1
2020-04-05,Нижний Новгород,4.2
2020-04-06,Нижний Новгород,3.4
2020-03-02,Пермь,1.0
2020-03-03,Пермь,0.9
2020-03-04,Пермь,0.9
2020-03-05,Пермь,0.8
2020-03-06,Пермь,0.8
2020-03-07,Пермь,2.5
2020-03-08,Пермь,2.9
2020-03-09,Пермь,3.1
2020-03-10,Пермь,1.0
2020-03-11,Пермь,0.9
2020-03-12,Пермь,0.9
2020-03-13,Пермь,0.9
2020-03-14,Пермь,2.4
2020-03-15,Пермь,3.1
