date,country,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-02-16,AFG,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,AFG,2.8359097900000028,10.486540609999999,1.2850233900000012,9.704184070000002,4.359446070000003,-0.06694022999999988
2020-02-18,AFG,5.716330689999998,11.214497490000001,1.910921389999998,8.7946649,5.107900910000002,-1.3423849600000017
2020-02-19,AFG,2.5288739700000016,4.7235388899999995,2.6249970599999957,8.543402630000001,5.639318369999997,-0.6018795299999954
2020-02-20,AFG,-0.8198651999999963,2.770831559999998,1.1124519000000002,-0.2231553799999994,4.494548799999998,0.742468510000002
2020-02-21,AFG,-1.6995418299999978,3.359454979999999,-0.8890371700000034,4.423504190000004,6.322182929999999,1.0654244300000004
2020-02-22,AFG,-0.16935555000000294,9.375002419999998,3.496769500000004,6.545277130000002,6.2449232299999995,0.21694428000000301
2020-02-23,AFG,1.6414554100000034,5.48625,5.63655862,6.841261979999998,5.559066170000001,-0.1933420999999997
2020-02-24,AFG,2.0961052700000034,5.88269241,2.2487945900000024,6.770359680000003,6.280553929999997,0.5079988200000005
2020-02-25,AFG,2.5723490100000017,12.985206289999995,4.20402227,8.7946649,6.932150189999997,-0.4683089599999976
2020-02-26,AFG,2.2478861999999995,4.7235388899999995,1.1249977900000019,8.774303929999997,6.88436196,0.16043524000000467
2020-02-27,AFG,-0.6832196700000035,5.264581559999998,1.6686791800000014,3.347313409999997,5.436954879999999,0.6786019100000006
2020-02-28,AFG,-0.9151357599999977,0.25842166000000055,0.7112307999999982,3.3176278099999963,7.02464637,2.319585169999996
2020-02-29,AFG,-2.0322599500000047,4.49999781,0.9202043899999962,3.6653536499999984,5.232233300000001,2.1718540899999996
2020-03-01,AFG,-1.0101283500000016,1.2468750000000002,0.17080657999999665,4.1930338099999975,6.263736079999998,1.3476557500000004
2020-03-02,AFG,2.959207439999996,9.975000000000001,1.7669089899999972,9.478508339999998,8.792777630000002,0.4561527600000042
2020-03-03,AFG,5.001792179999997,7.0828391900000005,3.439656639999999,8.100349040000001,7.8077889399999965,-0.8132138699999963
2020-03-04,AFG,3.371829299999999,6.390671280000003,1.687502670000002,7.38889081,8.056169100000004,0.07980132999999967
2020-03-05,AFG,-1.9130108199999958,4.433331559999998,0.7416359299999967,-0.892620190000001,7.321768369999998,0.9476981500000025
2020-03-06,AFG,3.006878629999996,5.4268136300000025,2.1336910699999976,3.5388041500000025,10.068662589999999,1.2092399899999975
2020-03-07,AFG,2.879029720000002,9.375002419999998,8.281824880000004,3.6653536499999984,7.932739780000002,1.131944380000003
2020-03-08,AFG,0.0,5.236875,4.440927189999996,3.5309757699999973,7.203295960000003,0.630505119999998
2020-03-09,AFG,4.6854157700000005,7.9288482,3.5338166499999977,6.544683949999997,6.502222369999999,-0.14793988999999813
2020-03-10,AFG,-15.005371220000004,-10.034025400000006,-4.20402227,-9.257539479999997,-21.599125519999994,6.113380910000003
2020-03-11,AFG,0.0,0.0,1.3125011900000005,6.234375,5.492840150000004,0.6817127799999996
2020-03-12,AFG,2.186303209999997,-1.3854184400000018,2.2249077899999996,0.0,3.4071607499999965,0.6670242600000018
2020-03-13,AFG,0.7844060700000001,-4.134713309999999,1.0668448699999957,-1.5482290600000008,5.931925019999998,1.1359370399999964
2020-03-14,AFG,3.3870950400000046,8.624999460000005,6.073341260000004,4.450789139999998,4.55710535,0.07793933000000401
2020-03-15,AFG,6.187023009999998,2.2443750000000002,4.611727119999999,5.075774760000002,3.2101651399999978,-0.4026521799999988
2020-03-16,AFG,0.9864038099999953,11.509616509999999,4.818840039999999,5.867648780000001,2.7338908100000006,0.3594657499999974
2020-03-17,AFG,1.4290810100000013,14.460797399999999,2.4841966100000032,3.934455209999996,1.2404923300000021,0.5955686799999957
2020-03-18,AFG,0.4214796599999986,5.55710176,2.999998539999997,-2.770831559999998,1.3915218099999962,0.38660440000000246
2020-03-19,AFG,-0.40993259999999815,6.65,5.376858830000004,-6.471471440000004,-1.1598836899999996,0.7138841499999993
2020-03-20,AFG,-3.268348650000002,3.101038640000004,4.622996210000003,-6.414080609999992,-1.5610342999999998,2.269579830000002
2020-03-21,AFG,-15.072576119999997,1.1249977900000019,6.80950158,-19.112205070000005,-6.75126753000001,0.9033852100000007
2020-03-22,AFG,-22.727848639999994,-12.718125,1.3664380100000009,-24.05475373,-35.703294060000005,5.627847120000004
2020-03-23,AFG,-11.836839069999998,8.9519241,-1.7669089899999972,-14.443435579999994,-5.615553930000006,1.387954749999996
2020-03-24,AFG,-11.146847040000008,6.787721499999998,0.38218481000000015,-16.66356867,-3.2106825099999954,2.458382639999999
2020-03-25,AFG,-15.313731719999996,0.2778529599999973,-1.1249977900000019,-18.241321069999994,-4.906936579999996,3.4568761500000043
2020-03-26,AFG,-18.31026960000001,-0.5541684400000019,-2.595723760000003,-22.538594960000008,-10.293963260000005,6.089129690000004
2020-03-27,AFG,-17.779820379999997,0.25842166000000055,-3.9117654100000046,-22.781039330000006,-10.22476070000001,6.883424310000005
2020-03-28,AFG,-20.153226659999994,4.49999781,-2.3925276899999997,-16.23228691000001,-1.6878165500000033,4.5152941400000035
2020-03-29,AFG,-35.98575813,-19.700625000000002,-6.832191379999991,-31.77876198,-27.012357189999992,10.502415489999997
2020-03-30,AFG,-37.6066145,-20.7173036,-13.332126149999992,-34.30316715,-33.323890809999995,10.230016859999997
2020-02-16,AGO,0.0,0.0,0.0,0.0,0.0,0.0
